Name,Date,Opening Price,Closing Price
Apple,2023-03-01,146.83,145.31
Apple,2023-03-02,144.38,145.91
Apple,2023-03-03,148.04,151.03
Apple,2023-03-06,153.79,153.83
Apple,2023-03-07,153.7,151.6
Apple,2023-03-08,152.81,152.87
Apple,2023-03-09,153.56,150.59
Apple,2023-03-10,150.21,148.5
Apple,2023-03-13,147.81,150.47
Apple,2023-03-14,151.28,152.59
Apple,2023-03-15,151.19,152.99
Apple,2023-03-16,152.16,155.85
Apple,2023-03-17,156.08,155.0
Apple,2023-03-20,155.07,157.4
Apple,2023-03-21,157.32,159.28
Apple,2023-03-22,159.3,157.83
Apple,2023-03-23,158.83,158.93
Apple,2023-03-24,158.86,160.25
Apple,2023-03-27,159.94,158.28
Apple,2023-03-28,157.97,157.65
Apple,2023-03-29,159.37,160.77
Apple,2023-03-30,161.53,162.36
Apple,2023-03-31,162.44,164.9
Apple,2023-04-03,164.27,166.17
Apple,2023-04-04,166.6,165.63
Apple,2023-04-05,164.74,163.76
Apple,2023-04-06,162.43,164.66
Apple,2023-04-10,161.42,162.03
Apple,2023-04-11,162.35,160.8
Apple,2023-04-12,161.22,160.1
Apple,2023-04-13,161.63,165.56
Apple,2023-04-14,164.59,165.21
Apple,2023-04-17,165.09,165.23
Apple,2023-04-18,166.1,166.47
Apple,2023-04-19,165.8,167.63
Apple,2023-04-20,166.09,166.65
Apple,2023-04-21,165.05,165.02
Apple,2023-04-24,165.0,165.33
Apple,2023-04-25,165.19,163.77
Apple,2023-04-26,163.06,163.76
Apple,2023-04-27,165.19,168.41
Apple,2023-04-28,168.49,169.68
Apple,2023-05-01,169.28,169.59
Apple,2023-05-02,170.09,168.54
Apple,2023-05-03,169.5,167.45
Apple,2023-05-04,164.89,165.79
Apple,2023-05-05,170.98,173.57
Apple,2023-05-08,172.48,173.5
Apple,2023-05-09,173.05,171.77
Apple,2023-05-10,173.02,173.56
Apple,2023-05-11,173.85,173.75
Apple,2023-05-12,173.62,172.57
Apple,2023-05-15,173.16,172.07
Apple,2023-05-16,171.99,172.07
Apple,2023-05-17,171.71,172.69
Apple,2023-05-18,173.0,175.05
Apple,2023-05-19,176.39,175.16
Apple,2023-05-22,173.98,174.2
Apple,2023-05-23,173.13,171.56
Apple,2023-05-24,171.09,171.84
Apple,2023-05-25,172.41,172.99
Apple,2023-05-26,173.32,175.43
Apple,2023-05-30,176.96,177.3
Apple,2023-05-31,177.33,177.25
Apple,2023-06-01,177.7,180.09
Apple,2023-06-02,181.03,180.95
Apple,2023-06-05,182.63,179.58
Apple,2023-06-06,179.97,179.21
Apple,2023-06-07,178.44,177.82
Apple,2023-06-08,177.9,180.57
Apple,2023-06-09,181.5,180.96
Apple,2023-06-12,181.27,183.79
Apple,2023-06-13,182.8,183.31
Apple,2023-06-14,183.37,183.95
Apple,2023-06-15,183.96,186.01
Apple,2023-06-16,186.73,184.92
Apple,2023-06-20,184.41,185.01
Apple,2023-06-21,184.9,183.96
Apple,2023-06-22,183.74,187.0
Apple,2023-06-23,185.55,186.68
Apple,2023-06-26,186.83,185.27
Apple,2023-06-27,185.89,188.06
Apple,2023-06-28,187.93,189.25
Apple,2023-06-29,189.08,189.59
Apple,2023-06-30,191.63,193.97
Apple,2023-07-03,193.78,192.46
Apple,2023-07-05,191.57,191.33
Apple,2023-07-06,189.84,191.81
Apple,2023-07-07,191.41,190.68
Apple,2023-07-10,189.26,188.61
Apple,2023-07-11,189.16,188.08
Apple,2023-07-12,189.68,189.77
Apple,2023-07-13,190.5,190.54
Apple,2023-07-14,190.23,190.69
Apple,2023-07-17,191.9,193.99
Apple,2023-07-18,193.35,193.73
Apple,2023-07-19,193.1,195.1
Apple,2023-07-20,195.09,193.13
Apple,2023-07-21,194.1,191.94
Apple,2023-07-24,193.41,192.75
Apple,2023-07-25,193.33,193.62
Apple,2023-07-26,193.67,194.5
Apple,2023-07-27,196.02,193.22
Apple,2023-07-28,194.67,195.83
Apple,2023-07-31,196.06,196.45
Apple,2023-08-01,196.24,195.61
Apple,2023-08-02,195.04,192.58
Apple,2023-08-03,191.57,191.17
Apple,2023-08-04,185.52,181.99
Apple,2023-08-07,182.13,178.85
Apple,2023-08-08,179.69,179.8
Apple,2023-08-09,180.87,178.19
Apple,2023-08-10,179.48,177.97
Apple,2023-08-11,177.32,177.79
Apple,2023-08-14,177.97,179.46
Apple,2023-08-15,178.88,177.45
Apple,2023-08-16,177.13,176.57
Apple,2023-08-17,177.14,174.0
Apple,2023-08-18,172.3,174.49
Apple,2023-08-21,175.07,175.84
Apple,2023-08-22,177.06,177.23
Apple,2023-08-23,178.52,181.12
Apple,2023-08-24,180.67,176.38
Apple,2023-08-25,177.38,178.61
Apple,2023-08-28,180.09,180.19
Apple,2023-08-29,179.7,184.12
Apple,2023-08-30,184.94,187.65
Apple,2023-08-31,187.84,187.87
Apple,2023-09-01,189.49,189.46
Apple,2023-09-05,188.28,189.7
Apple,2023-09-06,188.4,182.91
Apple,2023-09-07,175.18,177.56
Apple,2023-09-08,178.35,178.18
Apple,2023-09-11,180.07,179.36
Apple,2023-09-12,179.49,176.3
Apple,2023-09-13,176.51,174.21
Apple,2023-09-14,174.0,175.74
Apple,2023-09-15,176.48,175.01
Apple,2023-09-18,176.48,177.97
Apple,2023-09-19,177.52,179.07
Apple,2023-09-20,179.26,175.49
Apple,2023-09-21,174.55,173.93
Apple,2023-09-22,174.67,174.79
Apple,2023-09-25,174.2,176.08
Apple,2023-09-26,174.82,171.96
Apple,2023-09-27,172.62,170.43
Apple,2023-09-28,169.34,170.69
Apple,2023-09-29,172.02,171.21
Apple,2023-10-02,171.22,173.75
Apple,2023-10-03,172.26,172.4
Apple,2023-10-04,171.09,173.66
Apple,2023-10-05,173.79,174.91
Apple,2023-10-06,173.8,177.49
Apple,2023-10-09,176.81,178.99
Apple,2023-10-10,178.1,178.39
Apple,2023-10-11,178.2,179.8
Apple,2023-10-12,180.07,180.71
Apple,2023-10-13,181.42,178.85
Apple,2023-10-16,176.75,178.72
Apple,2023-10-17,176.65,177.15
Apple,2023-10-18,175.58,175.84
Apple,2023-10-19,176.04,175.46
Apple,2023-10-20,175.31,172.88
Apple,2023-10-23,170.91,173.0
Apple,2023-10-24,173.05,173.44
Apple,2023-10-25,171.88,171.1
Apple,2023-10-26,170.37,166.89
Apple,2023-10-27,166.91,168.22
Apple,2023-10-30,169.02,170.29
Apple,2023-10-31,169.35,170.77
Apple,2023-11-01,171.0,173.97
Apple,2023-11-02,175.52,177.57
Apple,2023-11-03,174.24,176.65
Apple,2023-11-06,176.38,179.23
Apple,2023-11-07,179.18,181.82
Apple,2023-11-08,182.35,182.89
Apple,2023-11-09,182.96,182.41
Apple,2023-11-10,183.97,186.4
Apple,2023-11-13,185.82,184.8
Apple,2023-11-14,187.7,187.44
Apple,2023-11-15,187.85,188.01
Apple,2023-11-16,189.57,189.71
Apple,2023-11-17,190.25,189.69
Apple,2023-11-20,189.89,191.45
Apple,2023-11-21,191.41,190.64
Apple,2023-11-22,191.49,191.31
Apple,2023-11-24,190.87,189.97
Apple,2023-11-27,189.92,189.79
Apple,2023-11-28,189.78,190.4
Apple,2023-11-29,190.9,189.37
Apple,2023-11-30,189.84,189.95
Apple,2023-12-01,190.33,191.24
Apple,2023-12-04,189.98,189.43
Apple,2023-12-05,190.21,193.42
Apple,2023-12-06,194.45,192.32
Apple,2023-12-07,193.63,194.27
Apple,2023-12-08,194.2,195.71
Apple,2023-12-11,193.11,193.18
Apple,2023-12-12,193.08,194.71
Apple,2023-12-13,195.09,197.96
Apple,2023-12-14,198.02,198.11
Apple,2023-12-15,197.53,197.57
Apple,2023-12-18,196.09,195.89
Apple,2023-12-19,196.16,196.94
Apple,2023-12-20,196.9,194.83
Apple,2023-12-21,196.1,194.68
Apple,2023-12-22,195.18,193.6
Apple,2023-12-26,193.61,193.05
Apple,2023-12-27,192.49,193.15
Apple,2023-12-28,194.14,193.58
Apple,2023-12-29,193.9,192.53
Apple,2024-01-02,187.15,185.64
Apple,2024-01-03,184.22,184.25
Apple,2024-01-04,182.15,181.91
Apple,2024-01-05,181.99,181.18
Apple,2024-01-08,182.09,185.56
Apple,2024-01-09,183.92,185.14
Apple,2024-01-10,184.35,186.19
Apple,2024-01-11,186.54,185.59
Apple,2024-01-12,186.06,185.92
Apple,2024-01-16,182.16,183.63
Apple,2024-01-17,181.27,182.68
Apple,2024-01-18,186.09,188.63
Apple,2024-01-19,189.33,191.56
Apple,2024-01-22,192.3,193.89
Apple,2024-01-23,195.02,195.18
Apple,2024-01-24,195.42,194.5
Apple,2024-01-25,195.22,194.17
Apple,2024-01-26,194.27,192.42
Apple,2024-01-29,192.01,191.73
Apple,2024-01-30,190.94,188.04
Apple,2024-01-31,187.04,184.4
Apple,2024-02-01,183.99,186.86
Apple,2024-02-02,179.86,185.85
Apple,2024-02-05,188.15,187.68
Apple,2024-02-06,186.86,189.3
Apple,2024-02-07,190.64,189.41
Apple,2024-02-08,189.39,188.32
Apple,2024-02-09,188.65,188.85
Apple,2024-02-12,188.42,187.15
Apple,2024-02-13,185.77,185.04
Apple,2024-02-14,185.32,184.15
Apple,2024-02-15,183.55,183.86
Apple,2024-02-16,183.42,182.31
Apple,2024-02-20,181.79,181.56
Apple,2024-02-21,181.94,182.32
